20.28017; 48.21920;Patika; BENU Gyógyszertár Ózd Páduai Szent Antal
19.03746; 47.34072;Patika; BENU Gyógyszertár Szigetszentmiklós
21.75773; 47.60063;Patika; BENU Hárs Patika
19.13520; 47.53925;Patika; BENU Gyógyszertár Budapest Nyírpalota
19.06107; 47.51842;Patika; BENU Gyógyszertár Budapest Lehel
19.83218; 48.00812;Patika; BENU Kastélykert Gyógyszertár
17.62398; 47.68762;Patika; BENU Gyógyszertár Kabay János
19.06894; 47.53673;Patika; BENU Gyógyszertár Budapest Valeriana
19.82984; 47.98519;Patika; BENU Gyógyszertár Bátonyterenye Elixir
22.32420; 47.95551;Patika; BENU Sas Gyógyszertár
16.98912; 46.45683;Patika; BENU Gyógyszertár Nagykanizsa Aranyszarvas
19.03337; 47.46394;Patika; BENU Gyógyszertár Budapest Mályva
19.04857; 47.47759;Patika; BENU Gyógyszertár Budapest Szent Imre
19.05155; 47.59824;Patika; BENU Gyógyszertár Budapest Auróra
17.26686; 46.77366;Patika; BENU Gyógyszertár Keszthely Interspar
20.19187; 47.17749;Patika; BENU Gyógyszertár Szolnok Pláza
16.83174; 46.84073;Patika; BENU Gyógyszertár Zalaegerszeg Platán
19.51655; 48.08140;Patika; BENU Gyógyszertár Szécsény Szent Jób
18.90895; 47.31791;Patika; BENU Gyógyszertár Százhalombatta Lakótelep
19.12548; 47.64243;Patika; BENU Gyógyszertár Dunakeszi Rézkígyó
19.09976; 47.43588;Patika; BENU Gyógyszertár Budapest Aranyfû
18.02866; 47.50239;Patika; BENU Kisbéri Ezüstkehely Gyógyszertár
20.78510; 48.10289;Patika; BENU Kígyó Gyógyszertár
21.71579; 47.95644;Patika; BENU Gyógyszertár Nyíregyháza Hõsök tere
19.13724; 47.50421;Patika; BENU Gyógyszertár Budapest Sugár
19.04863; 47.49849;Patika; BENU Dorottya Gyógyszertár
21.62829; 47.53292;Patika; BENU Fórum Gyógyszertár
17.12346; 46.56101;Patika; BENU Termál Gyógyszertár
19.18176; 47.44375;Patika; BENU Gyógyszertár Budapest Thököly
16.83312; 46.84689;Patika; BENU Gyógyszertár Zalaegerszeg Interspar
19.47431; 47.65204;Patika; BENU Gyógyszertár Aszód Városi
21.63550; 47.44020;Patika; BENU Gyógyszertár Mikepércs
19.05241; 47.50592;Patika; BENU Gyógyszertár Budapest Panacea
17.63839; 47.68830;Patika; BENU Gyógyszertár Kígyó
17.31674; 46.75773;Patika; BENU Gyógyszertár Keszthely Interspar Vonyarcvashegy fiókgyógyszertár
17.66047; 47.69280;Patika; BENU Cédrus Gyógyszertár
17.63256; 47.68751;Patika; BENU Városi Gyógyszertár
16.58624; 46.84645;Patika; BENU Gyógyszertár Zalalövõ Borostyánkõ
16.62919; 47.23211;Patika; BENU Szent Márton Gyógyszertár
16.60557; 47.23869;Patika; BENU Fagyöngy Gyógyszertár
17.92729; 47.09289;Patika; BENU Gyógyszertár Veszprém Cholnoky
16.58777; 47.67839;Patika; BENU Gyógyszertár Sopron Állomás
17.15176; 47.25809;Patika; BENU Gyógyszertár Celldömölk Csontváry
19.05716; 47.49689;Patika; BENU Gyógyszertár Budapest Madách tér
19.08403; 47.47002;Patika; BENU Lurdy-Korona Gyógyszertár
19.78711; 47.17565;Patika; BENU Felszegi Gyógyszertár
19.80748; 48.10561;Patika; BENU Gyógyszertár Salgótarján Kamilla
20.77809; 48.07964;Patika; BENU Gyógyszertár Miskolc Csontváry
16.62053; 47.25289;Patika; BENU Gyógyszertár Szombathely Stromfeld
17.63506; 47.68505;Patika; BENU Gyógyszertár
17.64660; 47.66908;Patika; BENU Gyógyszertár Györ Pláza
22.31371; 48.12805;Patika; BENU Remény Gyógyszertár
